Price,Year,Model,Body,Series:,Mileage,Power,Cylinder Capacity,Steering,Transmission,Drive,Fuel,Interior Material,Interior Color,Exterior Color,Condition,New / Used,Ready to Drive,Location
"EUR 124,900",2012,997.2 Carrera GTS,Coupé,997,14900 km,408 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,White,#N/A,Used car,yes,Netherlands
"EUR 70,000",2009,997.2 Carrera 4S,Cabriolet,997,105400 km,385 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Brown,Silver,#N/A,Used car,yes,France
"EUR 184,900",2022,992 Turbo,Coupé,992,11000 km,580 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
#N/A,2017,991.2 Carrera 4S,Cabriolet,991,48500 km,420 HP,3 Liter,left,PDK,Four-wheel drive,Gasoline,Leather,Black,White,#N/A,Used car,#N/A,Switzerland
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 139,900",2020,992 Carrera,Cabriolet,992,14000 km,385 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Germany
"EUR 192,500",2023,718 Cayman GT4 RS,Coupé,982,2070 km,500 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Grey,Purple,Accident-free,Used car,yes,Germany
"EUR 189,000",1972,911 S,Coupé,911 F-Model,11618 km,190 HP,"2,4 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Black,Fully restored,Used car,yes,France
"EUR 149,992",2020,992 Carrera S,Coupé,992,38929 km,538 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Brown,Grey,#N/A,Used car,yes,Belgium
"EUR 65,900EUR 64,900",2005,997 Carrera S,Coupé,997,54500 km,355 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 174,800",2018,991 GT3 Touring,Coupé,991,21620 km,500 HP,"4,0 Liter",left,Manual,Rear drive,Gasoline,Fabric/Leather combination,Black,White,#N/A,Used car,yes,Germany
"EUR 69,900EUR 68,900",2009,997.2 Carrera,Cabriolet,997,59500 km,345 HP,"3,6 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,Accident-free,Used car,yes,Germany
"EUR 69,000",1968,912,Coupé,912,53700 km,90 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Green,#N/A,Used car,yes,Italy
"EUR 159,997",2007,997 GT3 RS,Coupé,997,70441 km,415 HP,"3,6 Liter",left,Manual,Rear drive,Gasoline,Fabric,Black,Orange,#N/A,Used car,yes,Belgium
"EUR 75,000",1988,911 Carrera 3.2 (US),Coupé,911 G-Model,320000 km,218 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,#N/A,Used car,yes,Belgium
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 78,800",2013,991 Carrera,Coupé,991,94800 km,350 HP,"3,4 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Germany
"EUR 96,911",1988,911 Carrera 3.2,Targa,911 G-Model,79206 km,218 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,Accident-free,Used car,yes,Germany
"EUR 119,980",2018,991.2 Carrera S,Cabriolet,991,16500 km,420 HP,3 Liter,left,PDK,Rear drive,Gasoline,Leather,White,Blue,#N/A,Used car,yes,France
"EUR 130,000",2018,991.2 Carrera 4 GTS,Coupé,991,35800 km,450 HP,"3,0 Liter",left,PDK,Four-wheel drive,Gasoline,Alcantara,Black,Grey,#N/A,Used car,yes,Italy
"EUR 84,991",2012,991 Carrera,Coupé,991,54454 km,350 HP,"3,4 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Netherlands
"EUR 409,900",2023,992 GT3 RS,Coupé,992,650 km,525 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Yellow/Gold,#N/A,Used car,yes,France
"EUR 49,850",2006,997 Carrera S,Cabriolet,997,162768 km,355 HP,"3,8 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Grey,Accident-free,Used car,yes,Germany
"EUR 94,991",2012,991 Carrera S,Cabriolet,991,67650 km,400 HP,"3,8 Liter",left,PDK,Rear drive,Gasoline,Leather,Grey,Silver,Accident-free,Used car,yes,France
"EUR 109,900",1987,"911 Carrera 3.2 ""25 Jahre 911""",Coupé,911 G-Model,126500 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,#N/A,Used car,yes,France
"EUR 119,900",2010,997.2 Turbo S,Cabriolet,997,69900 km,530 HP,"3,8 Liter",left,PDK,Four-wheel drive,Gasoline,Leather,Beige,Black,#N/A,Used car,yes,France
"EUR 32,500",1972,914 1.7,Targa,914,118000 km,85 HP,1.8 Liter,left,Manual,Rear drive,Gasoline,Leather,Black,Yellow/Gold,Partially restored,Used car,yes,Germany
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"EUR 137,500",2020,992 Carrera S,Cabriolet,992,22820 km,450 HP,"3,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Grey,#N/A,Used car,yes,Sweden
"EUR 199,900",2022,992 GT3 Touring,Coupé,992,8300 km,510 HP,"4,0 Liter",left,PDK,Rear drive,Gasoline,Leather,Black,Black,#N/A,Used car,yes,Belgium
"EUR 79,950",1959,356 A 1600,Coupé,356,91000 km,60 HP,"1,6 Liter",left,Manual,Rear drive,Gasoline,Leather,Grey,Grey,#N/A,Used car,yes,Netherlands
"EUR 34,900",1998,996 Carrera,Coupé,996,118000 km,300 HP,"3,4 Liter",left,Manual,Rear drive,Gasoline,Leather,Black,Silver,#N/A,Used car,yes,Italy
"EUR 69,911",1983,911 Carrera 3.2,Cabriolet,911 G-Model,163000 km,231 HP,"3,2 Liter",left,Manual,Rear drive,Gasoline,Leather,Blue,Blue,#N/A,Used car,yes,Italy
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
